Review,AMBIENCE,QUALITY,PRICES,LOCATION,SERVICE
Lange wachttijd.,0,0,0,0,1
Ontbijtbuffet was tip top in orde.,0,1,0,0,0
Niet goedkoop!,0,0,1,0,0
"Vooreerst de bediening, uitzonderlijk vriendelijk attent niet geforceerd maar echt.",0,0,0,0,1
"Zelden meegemaakt, tussen het personeel was er een heerlijk plagende chemie.",0,0,0,0,1
Als je uitleg vraagt over dit lekkere rundvlees wordt het vlees op voorhand op een bord aan je voorgesteld.,0,1,0,0,1
Goedkoop is het niet maar wel uitzonderlijk lekker.,0,1,1,0,0
"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen.",0,0,1,0,0
De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.,0,1,0,0,0
Het was lang geleden dat we zo lekker geëten hebben.,0,1,0,0,0
Op de grens tussen Nederland en België hebben we uitzonderlijk lekker geëten in een sfeervolle omgeving met een livebandje die de juiste toon vond en ons een heerlijke namiddag hebben bezorgd.,1,1,0,0,0
Op het landgoed Altembrouck werkt men met verse eerlijke producten.,0,1,0,0,0
"Op zondag is er een 3 gang menu voor 27,50 wat echt prijs kwaliteit is.",0,0,1,0,0
Het personeel is zeer vriendelijk en correct zonder stijf te zijn.,0,0,0,0,1
"Verder is, en zeer flexibel 3 pers wilde graag (met bijbetaling) gaan voor het voorgerecht van het paasmenu.",0,0,0,0,1
Zo heerlijk fantasievol opgedient eten in een fijne ambiance.,1,1,0,0,0
"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,",0,1,0,1,1
De ober was juist ontslagen dacht ik.,0,0,0,0,1
Zo onvriendelijk op het boertig af.,0,0,0,0,1
Blijkbaar werkt hij er nog.sympathieker is hij er zeker niet op geworden.,0,0,0,0,1
Het eten veel ook niet echt mee of speelde de bediening hier bij een rol.,0,1,0,0,1
Zo lang die ober daar blijft werken mij niet meer gezien.,0,0,0,0,1
De ober was ronduit onbeleefd en deed er alles aan om ons duidelijk te maken dat hij geen zin had om ons te bedienen.,0,0,0,0,1
"Toen we zegden: ja, als het te moeilijk is om ons te bedienen, we konden onze zin niet afmaken maar werden toegeschreeuwd door de oor de ober die zich dan omdraaide en weg ging.",0,0,0,0,1
De andere klanten zegden luidop dat het schandalig en ongelooflijk was dat men een groep van 9 mensen zo duidelijk buiten joeg!,0,0,0,0,1
"Eigenaar, leer uw personeel manieren.",0,0,0,0,1
"De gastvrouw kreeg van ons de vrije keuze aan tapagerechtjes, zij leverde snel aan en alhoewel alles lekker was en van goede kwaliteit, miste ik verfijning.",0,1,0,0,1
"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",0,1,0,0,0
"De wijn was lekker, duurste fles nog aan modeste prijs van 30 eur.....",0,1,1,0,0
