Review,AMBIENCE,QUALITY,PRICES,LOCATION,SERVICE
Manzara sahane evet ama servis rezalet.,1,0,0,0,1
"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",0,0,0,0,1
"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",0,1,0,0,0
bu servise bu fiyatlar ise cok faZla.,0,0,1,0,0
Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.,0,1,0,0,0
Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.,0,0,0,0,1
ayrica gelen kalamar soguk ve sünger gibiydi.,0,1,0,0,0
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.,0,1,0,0,0
Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.,0,1,0,0,0
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,0,1,1,0,0
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.",1,0,0,0,0
garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.,0,0,0,0,1
lokumun daha iyisini yedim küşleme güzeldi.,0,1,0,0,0
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,0,0,1,0,0
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,0,0,1,0,0
Şatobiryanı öneririm.,0,1,0,0,0
Sosu tereyagli ve yumusak .,0,1,0,0,0
Sert et sevmeyenler icin cok lezzetliydi.,0,1,0,0,0
Guvecte yogurt ve salatayla iyi bir uclu oldu.,0,1,0,0,0
Servisi hizli valesi var.,0,0,0,0,1
Acik mekanda ise gardenya bolumu guzel.,1,0,0,0,0
Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.,0,1,0,0,0
Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.,0,1,0,0,0
"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",1,0,0,0,0
Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.,0,1,0,0,0
"Fasulyesi ağızda dağılıyor adeta, lokum gibi.",0,1,0,0,0
"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",0,1,0,0,0
Finali sütlaçla yapmanızı tavsiye ediyorum.,0,1,0,0,0
Sütlacı da enfes.,0,1,0,0,0
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",0,1,0,0,1
Atıştırmalık Jumbo Combo pek yummy!,0,1,0,0,0
Deniz ürünleri çok başarılı.,0,1,0,0,0
Manzarası zaten mükemmel.,1,0,0,0,0
"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.",1,0,0,0,0
Onun dışında pek öğrenci mekanı değil.,1,0,0,0,0
"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",1,0,0,0,0
"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.",1,0,0,0,0
"Çalan müzik tam kıvamında, rahatsız etmiyor.",1,0,0,0,0
"Yemekleri çok lezzetli, manzara mükemmel.",1,1,0,0,0
"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",0,0,1,0,0
Kalabalik zamanlarda servis fazlasiyla aksiyor.,0,0,0,0,1
"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.",0,0,0,0,1
Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,1,0,0,0,0
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",1,1,0,0,0
İçinizi serinletecek enfes bir tat.,0,1,0,0,0
Garsonlar suratsiz.,0,0,0,0,1
Isletme sahibi kaba.,0,0,0,0,1
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.",0,1,0,0,0
Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,0,0,0,1,0
Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.,0,1,0,0,0
Beşiktaş'ın göbeğinde.,0,0,0,1,0
"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",0,1,0,0,1
"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",0,1,0,0,0
"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.",0,0,0,0,1
"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",0,1,1,0,0
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",0,1,1,0,1
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,1,1,0,0,0
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,0,1,0,0,0
Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.,0,1,0,0,0
"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",0,1,0,0,0
Burada caylar harika!,0,1,0,0,0
Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.,0,1,0,0,0
Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,1,0,0,0,0
"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.",1,0,0,0,0
Hemde canlı müzikle :,1,0,0,0,0
Buranin doneri dedikleri kadar efsane degil.,0,1,0,0,0
"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",0,1,0,0,0
Ortami da begenmedim kalabalik 3. Sinif bir yer.,1,0,0,0,0
"Eti lezzetli, mekan gösterişli.",1,1,0,0,0
Ama sunum resmen sıfır.,0,0,0,0,1
Havuç dilimi ise aşırı yağlı ve şerbetli.,0,1,0,0,0
Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!,0,0,0,0,1
"Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...",0,0,0,0,1
Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.,0,0,0,0,1
"Tavuklar kupkuruydu, kofte durum ise siradandi.",0,1,0,0,0
Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.,0,1,0,0,0
Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,0,1,0,0,0
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",1,0,1,0,1
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",1,0,0,0,1
Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,0,0,0,0,1
Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.,0,0,0,0,1
Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.,0,0,0,0,1
Internetteki resimlerinden göründügü kadar güzel degildi.,1,0,0,0,0
Su böregi oldukça lezzetli idi.,0,1,0,0,0
Çay kötü müydü?,0,1,0,0,0
"Hayir, çok taze ve lezzetliydi.",0,1,0,0,0
Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,1,0,0,0,0
Yazin daha zevkli oluyor manzaraya karsi oturmasi.,1,0,0,0,0
Marmara ögrencilerine de indirimli fiyat uygulamasi var.,0,0,1,0,0
O yüzden de bizim için avantajli oluyor.,0,0,1,0,0
Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,1,1,0,0,0
Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,0,1,1,0,0
Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,1,1,0,0,0
"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",1,1,0,1,0
Sira bekleme olayi ise çok kötü...,0,0,0,0,1
"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",1,1,0,0,0
Sadece meze yiyin.,0,1,0,0,0
Servisi çok hızlı.,0,0,0,0,1
Mısır ekmeği de sıcacık bayılıyorum.,0,1,0,0,0
"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",1,1,1,0,0
"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",0,1,1,0,0
Servisten de oldukça memnun kaldık.,0,0,0,0,1
Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...,1,0,0,0,0
Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil.,1,0,0,0,0
Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor.,1,0,0,0,0
Garsonlar iyi.,0,0,0,0,1
"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.",0,0,0,0,1
Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma.,0,0,1,0,0
Mezeler de vasatın üzerinde.,0,1,0,0,0
Balkon/teras bölümü de cidden çok küçük.,1,0,0,0,0
Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis.,0,0,0,0,1
Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde.,0,0,0,0,1
Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz.,1,1,0,0,0
Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.,0,0,0,0,1
"Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat.",1,1,0,0,0
"Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin",0,1,0,0,0
Istanbulda baklavanın adresi.,0,1,0,0,0
Sadece baklava değil karışık tabak yaptırın.,0,1,0,0,0
Çikolatalı baklavayıda özellikle bayanlara tavsiye ederim,0,1,0,0,0
"yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.",1,1,0,0,0
Hersey lezzetli statüsüne çok yakin.,0,1,0,0,0
"Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5...",0,0,1,0,0
"Onun dışında, belirli bir saatten sonra müzik sağır edici seviyeye ulaşmakta.",1,0,0,0,0
mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor .,0,1,0,0,0
bunun haricinde çalışanların ilgiside gayet iyi,0,0,0,0,1
Combo tabağı hayalleriyle gittik ve şaka gibi içinde iki üç parça olan çok lezzetsiz bir tabak geldi.,0,1,0,0,0
Hamburgerleri vasat.,0,1,0,0,0
Porsiyonları çok küçük fiyatlar çok Pahalı.,1,0,0,0,0
Garsonlar ilgisiz çayları kötü.,0,1,0,0,1
Arada bir belki tatlı yemeye gidilebilir.,0,1,0,0,0
O da manzarası için.,1,0,0,0,0
Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında.,0,1,0,0,0
"Servis kaliteli, çalışanları ise inanılmaz ilgili.",0,0,0,0,1
Mekandaki müzik seçimleri de harika.,1,0,0,0,0
Bazen inanılmaz kalabalık olabiliyor haliyle öyle günlerde serviste aksaklıklar yaşanabiliyor.,0,0,0,0,1
Mekan güzel ferah.,1,0,0,0,0
Servis çok hızlı.,0,0,0,0,1
Fiyatları makul.,0,0,1,0,0
Yemekler lezzetli,0,1,0,0,0
"Manzara güzel,yemekler güzel ama servis berbat.",1,1,0,0,1
Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu.,0,1,0,0,0
"Mekani çok güzel, çesitler inanilmaz derecede bol ve lezzetli.",1,1,0,0,0
servisi gayet iyi.,0,0,0,0,1
"Tesis, Fethi Pasa korulugunun içinde yer aliyor.",0,0,0,1,0
Etler kalitesi ortalama.,0,1,0,0,0
Lezzet ortalama.,0,1,0,0,0
Bu et bu parayı asla hak etmiyor.,0,1,1,0,0
Kuru fasulye için gidilir.,0,1,0,0,0
Güzel yapıyorlar.,0,1,0,0,0
"Pilav, ayran eşliğinde iyi bir menü.",0,1,0,0,0
