text,target,category,polarity,from,to
Lange wachttijd.,wachttijd~,SERVICE#GENERAL~,negative~,6~,15~
"Zelfde dessert, 2 dagen na mekaar.",dessert~,FOOD#STYLE_OPTIONS~,negative~,7~,14~
Ontbijtbuffet was tip top in orde.,ontbijtbuffet~,FOOD#QUALITY~,positive~,0~,13~
Niet goedkoop!,NULL~,RESTAURANT#PRICES~,negative~,0~,0~
Via via hadden we gehoord dat we hier moesten zijn voor Wagye runder vlees.
Onze Gps was niet de beste reisleider om in Kasteel Altembrouck te geraken.
Maar eens in het kasteelrestaurant aangekomen werd het een feest.,kasteelrestaurant~,RESTAURANT#GENERAL~,positive~,17~,34~
"Vooreerst de bediening, uitzonderlijk vriendelijk attent niet geforceerd maar echt.",bediening~,SERVICE#GENERAL~,positive~,13~,22~
"Zelden meegemaakt, tussen het personeel was er een heerlijk plagende chemie.",personeel~,SERVICE#GENERAL~,positive~,30~,39~
Je hebt de keuze tussen een beperkt aantal menus.,menus~,FOOD#STYLE_OPTIONS~,negative~,43~,48~
Specialisatie zijn de Wagye runderen.
Als je uitleg vraagt over dit lekkere rundvlees wordt het vlees op voorhand op een bord aan je voorgesteld.,NULL~rundvlees~,SERVICE#GENERAL~FOOD#QUALITY~,positive~positive~,0~38~,0~47~
Goedkoop is het niet maar wel uitzonderlijk lekker.,NULL~NULL~,FOOD#QUALITY~FOOD#PRICES~,positive~negative~,0~0~,0~0~
"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen.",visalternatief~lam~eend~,FOOD#PRICES~FOOD#PRICES~FOOD#PRICES~,positive~positive~positive~,44~68~60~,58~71~64~
De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.,wijnen~wijnkaart~,DRINKS#QUALITY~DRINKS#STYLE_OPTIONS~,positive~positive~,63~3~,69~12~
Het was lang geleden dat we zo lekker geëten hebben.,NULL~,FOOD#QUALITY~,positive~,0~,0~
