text,target,category,polarity,from,to
"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto",service~plats~sauces~NULL~NULL~resto~,SERVICE#GENERAL~FOOD#QUALITY~FOOD#QUALITY~RESTAURANT#PRICES~FOOD#QUALITY~RESTAURANT#GENERAL~,neutral~negative~negative~neutral~negative~negative~,3~27~47~0~0~242~,10~32~53~0~0~247~
"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service.",ambiance~promenade~service~,AMBIENCE#GENERAL~LOCATION#GENERAL~SERVICE#GENERAL~,positive~positive~positive~,23~40~97~,31~49~104~
Nous reviendrons!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
"on s'attendait à mieux (attente, qualité moyenne).",attente~NULL~,SERVICE#GENERAL~FOOD#QUALITY~,negative~negative~,24~0~,31~0~
"Pas mal, mais sans plus.",NULL~,RESTAURANT#GENERAL~,neutral~,0~,0~
Nous ne pensons pas y retourner,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
,,,,,
Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire,adresse~vue~cuisine~service~,RESTAURANT#GENERAL~LOCATION#GENERAL~FOOD#QUALITY~SERVICE#GENERAL~,positive~positive~positive~positive~,4~30~124~155~,11~33~131~162~
"Une petite dame nous accueille sans le sourire mais surtout sans enthousiasme, ça devait l'énerver d'avoir des clients un mardi soir .... 3 tables.",NULL~,SERVICE#GENERAL~,negative~,0~,0~
"Bref, passons ....",,,,,
"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !",lasagnes~fromage~concentré de tomates~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,negative~negative~negative~,24~60~125~,32~67~145~
Dessert tout sauf maison .... !,Dessert~,FOOD#QUALITY~,negative~,0~,7~
"Je ne conseille vraiment pas, même si votre frigo est vide et que les autres restau d'à côté sont pleins et que vous ne savez pas où aller .....",NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Il vaut encore mieux aller au Mc Do !,,,,,
Vraiment très agréablement surpris!,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
Le menu du jour est très bon et bien servi!,menu du jour~NULL~,FOOD#QUALITY~SERVICE#GENERAL~,positive~positive~,3~0~,15~0~
"toujours très original, on y goutte des plats qu'on ne verra pas autre part.",NULL~plats~,RESTAURANT#MISCELLANEOUS~FOOD#STYLE_OPTIONS~,positive~positive~,0~40~,0~45~
"La table des desserts donne vraiment envie, on vous y coupe une bonne part de tarte gourmande ou de gâteau frais, fait maison!",table des desserts~tarte gourmande~gâteau~,FOOD#STYLE_OPTIONS~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~positive~,3~78~100~,21~93~106~
On se sent un peu comme à la maison avec la qualité bien relevée!,NULL~NULL~,AMBIENCE#GENERAL~FOOD#QUALITY~,positive~positive~,0~0~,0~0~
Et l'équipe est adorable!,équipe~,SERVICE#GENERAL~,positive~,5~,11~
Y aller également pour la terrasse qui est très jolie!,terrasse~,AMBIENCE#GENERAL~,positive~,26~,34~
concept étonnant au départ mais très éfficace car la cuisine est bonne et l'endroit convivial!! le tartare est excélent et les frites maison sont a volonté pour un prix tout a fait convenable!,NULL~cuisine~endroit~tartare~frites~NULL~frites~,RESTAURANT#MISCELLANEOUS~FOOD#QUALITY~AMBIENCE#GENERAL~FOOD#QUALITY~FOOD#QUALITY~FOOD#PRICES~FOOD#STYLE_OPTIONS~,positive~positive~positive~positive~positive~positive~positive~,0~53~76~99~127~0~127~,0~60~83~106~133~0~133~
très bien,NULL~,RESTAURANT#GENERAL~,positive~,0~,0~
,,,,,
