text,target,category,polarity,from,to
Manzara sahane evet ama servis rezalet.,servis~Manzara~,SERVICE#GENERAL~AMBIENCE#GENERAL~,negative~positive~,24~0~,30~7~
"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",mezenin~garson~,FOOD#STYLE_OPTIONS~SERVICE#GENERAL~,negative~negative~,188~66~,195~72~
"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",lezzetler~Yemekler~NULL~,FOOD#QUALITY~FOOD#QUALITY~FOOD#QUALITY~,positive~positive~neutral~,18~0~0~,27~8~0~
bu servise bu fiyatlar ise cok faZla.,fiyatlar~,RESTAURANT#PRICES~,negative~,14~,22~
Lacivert beni kalitesinin dusukluguyle cok sasirtti,kalitesinin~,RESTAURANT#GENERAL~,negative~,14~,25~
Nerden baslasam bilemedim.
Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.,balik~,FOOD#QUALITY~,negative~,59~,64~
Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.,balik geldi~,SERVICE#GENERAL~,negative~,27~,38~
ayrica gelen kalamar soguk ve sünger gibiydi.,kalamar~,FOOD#QUALITY~,negative~,13~,20~
uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,kalitesi~,RESTAURANT#GENERAL~,negative~,39~,47~
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.,ev yemegi~,FOOD#QUALITY~,negative~,11~,20~
Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.,ev yemeginin~,FOOD#QUALITY~,negative~,22~,34~
Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.,NULL~,RESTAURANT#GENERAL~,negative~,0~,0~
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,fiyatlarinin~yemeklerinin~,RESTAURANT#PRICES~FOOD#QUALITY~,negative~negative~,17~37~,29~49~
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.",kasap reyonu~,AMBIENCE#GENERAL~,negative~,18~,30~
garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.,garsonumuz~,SERVICE#GENERAL~,negative~,0~,10~
lokumun daha iyisini yedim küşleme güzeldi.,küşleme~lokumun~,FOOD#QUALITY~FOOD#QUALITY~,positive~neutral~,27~0~,34~7~
şazeli salata yani...
bilemedim mekana daha sonra belki bir şans daha verebilirim.,mekana~,RESTAURANT#GENERAL~,neutral~,10~,16~
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,çayı~,DRINKS#PRICES~,negative~,91~,95~
