Review,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE&OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE&OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
Manzara sahane evet ama servis rezalet.,1,0,0,0,0,0,0,0,0,0,0,1
"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",0,0,0,0,0,0,1,0,0,0,0,1
"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",0,0,0,0,0,1,0,0,0,0,0,0
bu servise bu fiyatlar ise cok faZla.,0,0,0,0,0,0,0,0,0,0,1,0
Lacivert beni kalitesinin dusukluguyle cok sasirtti,0,0,0,0,0,0,0,0,1,0,0,0
Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.,0,0,0,0,0,1,0,0,0,0,0,0
Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.,0,0,0,0,0,0,0,0,0,0,0,1
ayrica gelen kalamar soguk ve sünger gibiydi.,0,0,0,0,0,1,0,0,0,0,0,0
uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.,0,0,0,0,0,0,0,0,1,0,0,0
Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,0,0,0,0,0,0,0,0,1,0,0,0
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.,0,0,0,0,0,1,0,0,0,0,0,0
Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.,0,0,0,0,0,1,0,0,0,0,0,0
Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.,0,0,0,0,0,0,0,0,1,0,0,0
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,0,0,0,0,0,1,0,0,0,0,1,0
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.",1,0,0,0,0,0,0,0,0,0,0,0
garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.,0,0,0,0,0,0,0,0,0,0,0,1
lokumun daha iyisini yedim küşleme güzeldi.,0,0,0,0,0,1,0,0,0,0,0,0
bilemedim mekana daha sonra belki bir şans daha verebilirim.,0,0,0,0,0,0,0,0,1,0,0,0
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,0,1,0,0,0,0,0,0,0,0,0,0
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,0,1,0,0,0,0,0,0,1,0,0,0
Şatobiryanı öneririm.,0,0,0,0,0,1,0,0,0,0,0,0
Sosu tereyagli ve yumusak .,0,0,0,0,0,1,0,0,0,0,0,0
Sert et sevmeyenler icin cok lezzetliydi.,0,0,0,0,0,1,0,0,0,0,0,0
Guvecte yogurt ve salatayla iyi bir uclu oldu.,0,0,0,0,0,1,0,0,0,0,0,0
Servisi hizli valesi var.,0,0,0,0,0,0,0,0,0,0,0,1
Acik mekanda ise gardenya bolumu guzel.,1,0,0,0,0,0,0,0,0,0,0,0
Kalabalik icin ideal.,0,0,0,0,0,0,0,0,1,0,0,0
Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.,0,0,0,0,0,1,0,0,0,0,0,0
Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.,0,0,1,0,0,0,0,0,0,0,0,0
"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",1,0,0,0,0,0,0,0,0,0,0,0
Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.,0,0,0,0,0,0,0,0,1,0,0,0
Şubelerden en iyisi Pendik merkez ana şubesi iyidir.,0,0,0,0,0,0,0,0,1,0,0,0
Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.,0,0,0,0,0,1,0,0,0,0,0,0
"Fasulyesi ağızda dağılıyor adeta, lokum gibi.",0,0,0,0,0,1,0,0,0,0,0,0
Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.,0,0,0,0,0,0,1,0,0,0,0,0
"Yanında turşu, cacık veya yoğurtla harika oluyor.",0,0,0,0,0,0,1,0,0,0,0,0
"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",0,0,0,0,0,1,0,0,0,0,0,0
Finali sütlaçla yapmanızı tavsiye ediyorum.,0,0,0,0,0,1,0,0,0,0,0,0
Sütlacı da enfes.,0,0,0,0,0,1,0,0,0,0,0,0
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",0,0,0,0,0,1,0,0,0,0,0,1
Atıştırmalık Jumbo Combo pek yummy!,0,0,0,0,0,1,0,0,0,0,0,0
Deniz ürünleri çok başarılı.,0,0,0,0,0,1,0,0,0,0,0,0
Manzarası zaten mükemmel.,1,0,0,0,0,0,0,0,0,0,0,0
"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.",1,0,0,0,0,0,0,0,0,0,0,0
Onun dışında pek öğrenci mekanı değil.,1,0,0,0,0,0,0,0,0,0,0,0
"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",1,0,0,0,0,0,0,0,0,0,0,0
"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.",1,0,0,0,0,0,0,0,0,0,0,0
"Çalan müzik tam kıvamında, rahatsız etmiyor.",1,0,0,0,0,0,0,0,0,0,0,0
"Yemekleri çok lezzetli, manzara mükemmel.",1,0,0,0,0,1,0,0,0,0,0,0
"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",0,0,0,0,1,0,0,0,0,0,0,0
Kalabalik zamanlarda servis fazlasiyla aksiyor.,0,0,0,0,0,0,0,0,0,0,0,1
"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.",0,0,0,0,0,0,0,0,0,0,0,1
Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,1,0,0,0,0,0,0,0,0,0,0,0
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",1,0,0,0,0,1,0,0,0,0,0,0
İçinizi serinletecek enfes bir tat.,0,0,0,0,0,1,0,0,0,0,0,0
Garsonlar suratsiz.,0,0,0,0,0,0,0,0,0,0,0,1
Bu kadar methedilmeyi hakketmiyor.,0,0,0,0,0,0,0,0,1,0,0,0
Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,0,0,0,0,0,0,1,0,1,0,0,0
Isletme sahibi kaba.,0,0,0,0,0,0,0,0,0,0,0,1
Bizim kasarli köfte tanimimiz böyle diyor sadece!,0,0,0,0,0,0,1,0,0,0,0,0
Müsteri memnuniyeti sifir!,0,0,0,0,0,0,0,0,1,0,0,0
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.",0,0,0,0,0,1,0,0,0,0,0,0
O zaman keşke başlangıçlarda menüde yer almasa!,0,0,0,0,0,0,1,0,0,0,0,0
Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,0,0,0,0,0,0,0,1,1,0,0,0
"Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.",0,0,0,0,0,0,1,0,0,0,0,0
Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.,0,0,0,0,0,0,1,0,0,0,0,0
Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.,0,0,0,0,0,1,0,0,0,0,0,0
"Malzemesi bol, porsiyonu tam kıvamındaydı.",0,0,0,0,0,0,1,0,0,0,0,0
Beşiktaş'ın göbeğinde.,0,0,0,0,0,0,0,1,0,0,0,0
Ve deneyim maalesef çok da olumlu olmadı.,0,0,0,0,0,0,0,0,1,0,0,0
"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",0,0,0,0,0,1,0,0,0,0,0,1
"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",0,0,0,0,0,1,1,0,0,0,0,0
"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.",0,0,0,0,0,0,0,0,0,0,0,1
"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",0,0,0,0,0,1,0,0,0,0,1,0
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",0,0,0,0,1,1,0,0,0,0,0,1
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,1,0,0,0,0,1,1,0,0,0,0,0
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,0,0,0,0,0,1,0,0,1,0,0,0
Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.,0,0,0,0,0,1,0,0,0,0,0,0
"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",0,0,0,0,0,1,0,0,0,0,0,0
Burada caylar harika!,0,0,1,0,0,0,0,0,0,0,0,0
Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.,0,0,0,0,0,1,0,0,0,0,0,0
Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,1,0,0,0,0,0,0,0,0,0,0,0
Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!,0,0,0,1,0,0,0,0,0,0,0,0
"Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.",0,0,0,0,0,0,0,0,1,0,0,0
"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.",1,0,0,0,0,0,0,0,0,0,0,0
Hemde canlı müzikle :,1,0,0,0,0,0,0,0,0,0,0,0
Daha iyisi var.,0,0,0,0,0,0,0,0,1,0,0,0
Buranin doneri dedikleri kadar efsane degil.,0,0,0,0,0,1,0,0,0,0,0,0
"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",0,0,0,0,0,1,1,0,0,0,0,0
Ortami da begenmedim kalabalik 3. Sinif bir yer.,1,0,0,0,0,0,0,0,0,0,0,0
Bir daha gitmem,0,0,0,0,0,0,0,0,1,0,0,0
"Eti lezzetli, mekan gösterişli.",1,0,0,0,0,1,0,0,0,0,0,0
Ama sunum resmen sıfır.,0,0,0,0,0,0,0,0,0,0,0,1
30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?,0,0,0,0,0,0,1,0,0,0,0,0
Havuç dilimi ise aşırı yağlı ve şerbetli.,0,0,0,0,0,1,0,0,0,0,0,0
Pek yaratıcı özel bir yanı yok.,0,0,0,0,0,0,0,0,1,0,0,0
Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!,0,0,0,0,0,0,0,0,0,0,0,1
"Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...",0,0,0,0,0,0,0,0,0,0,0,1
"Olmadı Big Chefs, zincirsin sen...",0,0,0,0,0,0,0,0,1,0,0,0
Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.,0,0,0,0,0,0,1,0,0,0,0,0
Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.,0,0,0,0,0,0,0,0,0,0,0,1
"Tavuklar kupkuruydu, kofte durum ise siradandi.",0,0,0,0,0,1,0,0,0,0,0,0
Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.,0,0,0,0,0,1,0,0,0,0,0,0
"Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.",0,0,0,0,0,0,1,0,0,0,0,0
Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,0,0,0,0,0,1,1,0,0,0,0,0
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",1,0,0,0,0,0,0,0,0,0,1,1
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",1,0,0,0,0,0,0,0,0,0,0,1
"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",0,0,0,0,0,0,1,0,0,0,0,0
Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.,0,0,0,0,0,0,0,0,1,0,0,0
Gidilebilecek iyi yerlerden birisi.,0,0,0,0,0,0,0,0,1,0,0,0
Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,0,0,0,0,0,0,0,0,0,0,0,1
Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.,0,0,0,0,0,0,0,0,0,0,0,1
Klasik dondurma spesiyalleri ve tatlililari var.,0,0,0,0,0,0,1,0,0,0,0,0
"Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.",0,0,0,0,0,0,0,0,1,0,0,0
Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.,0,0,0,0,0,0,0,0,0,0,0,1
Internetteki resimlerinden göründügü kadar güzel degildi.,1,0,0,0,0,0,0,0,0,0,0,0
Su böregi oldukça lezzetli idi.,0,0,0,0,0,1,0,0,0,0,0,0
Çay kötü müydü?,0,0,1,0,0,0,0,0,0,0,0,0
